TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 00:34:35+00:00,0x0000000000000000000000000000000000000000,0x5cd79943acf4d5a3ec5295ea970d67df598f3e34,2022421,0x064dd0a692953a7d5eca5c07257c833b5d043bb9546981864ea80b734fd53d92,518066,0xab5622d7da96c571c6abe08e4b85e462eb666e4f,0x06012c8cf97bead5deae237070f9587f8e7a266d,350000,250689
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 00:49:23+00:00,0x9ac5851e3fb55e42b9d5f27ed3b5c85024f50ac1,0x5ab130251d128bc10df5f77573a8983307822d36,1612392,0xa43f6f208ece1745434dc9c03cd79dad82634f510788355163f01959017da28f,2356,0x5ab130251d128bc10df5f77573a8983307822d36,0x00000000000001ad428e4906ae43d8f9852d0dd6,167547,119112
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 01:13:59+00:00,0x0000000000000000000000000000000000000000,0x5cd79943acf4d5a3ec5295ea970d67df598f3e34,2022422,0x91161cd77072eb663b2bbd3579ee1cd1e052c6ce111e7eda57340c6779ca146e,518067,0xab5622d7da96c571c6abe08e4b85e462eb666e4f,0x06012c8cf97bead5deae237070f9587f8e7a266d,350000,249749
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 01:35:23+00:00,0x150234b21a5f612d9c7fd1facf32722249fcc0c7,0xb51dcfaaa8f3a0f336eef817acd81194fc3026fd,533867,0xb689102d4940ee532a4ae1d81baaba0af62c5c4ba5b4f3ebd4413bd7b1bd38a3,444,0x150234b21a5f612d9c7fd1facf32722249fcc0c7,0x0000000000c2d145a2526bd8c716263bfebe1a72,451948,304313
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 01:36:11+00:00,0x0000000000000000000000000000000000000000,0x5c37ef5c9636465b7636b67b9a516abaab75e9d2,2022423,0xd7dd0944b2233a712204619b61b36a0fd5be6eab58789cdb6c5dfce31668dcb2,518068,0xab5622d7da96c571c6abe08e4b85e462eb666e4f,0x06012c8cf97bead5deae237070f9587f8e7a266d,350000,250392
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 02:26:59+00:00,0x0000000000000000000000000000000000000000,0x5c37ef5c9636465b7636b67b9a516abaab75e9d2,2022424,0x485104e6f35904fb288e3fc47797e0d46ddde1a58dc9e3230ceec976cbde6e16,518069,0xab5622d7da96c571c6abe08e4b85e462eb666e4f,0x06012c8cf97bead5deae237070f9587f8e7a266d,350000,251827
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 02:29:23+00:00,0x2125289a8f96c481ea6cd2e516b5a76c391f613c,0xa10740ff9ff6852eac84cdcff9184e1d6d27c057,732221,0xbc635b77808e377bb529ed758ca419477ce49e71b8bebf92d4f83f988fb7f4e1,1199,0x2125289a8f96c481ea6cd2e516b5a76c391f613c,0xa10740ff9ff6852eac84cdcff9184e1d6d27c057,170980,150637
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 02:32:23+00:00,0x2125289a8f96c481ea6cd2e516b5a76c391f613c,0xa10740ff9ff6852eac84cdcff9184e1d6d27c057,709464,0x433d7f95fa71e7735f58be3fa3546c4a9de1e8105f92cc0d5c07df177d0a1d76,1201,0x2125289a8f96c481ea6cd2e516b5a76c391f613c,0xa10740ff9ff6852eac84cdcff9184e1d6d27c057,152170,133537
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 03:14:59+00:00,0xc7e42375a7b463788654d4c88c073c12223dcac2,0x10f238f2259ce32366d2fb8b65fad0a89ddf0dbb,1568232,0xce92ea53a9a786fc0f5aa1cfd08be715afa07df4f3a28670f8b9c7e8a1f7050d,108,0xc7e42375a7b463788654d4c88c073c12223dcac2,0x06012c8cf97bead5deae237070f9587f8e7a266d,107812,67075
0x06012c8cf97bead5deae237070f9587f8e7a266d,2023-04-01 03:15:23+00:00,0xc7e42375a7b463788654d4c88c073c12223dcac2,0x10f238f2259ce32366d2fb8b65fad0a89ddf0dbb,1527161,0x43c0b6ed515a1ce3cdc4b3248045d8269169f1bf9f0ff226009e73ed19513313,109,0xc7e42375a7b463788654d4c88c073c12223dcac2,0x06012c8cf97bead5deae237070f9587f8e7a266d,78664,51975
