TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-01 09:03:23+00:00,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x2847436142a9c408e3c82c0fea7d8bd0ea42fc8c,40000000000000000,0xf338e2477987c0e35a97a37c7251b56b5dc71df4e5432fe0916be6f80a80b0ae,2412101,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,420000,52263
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-01 12:03:59+00:00,0x83f77f106db4bf4f746dd3e679893d0fac35b1bb,0xc2b6543cd6bda75a0618e331cd428ddc1183661b,173048256000000000000,0x39d8587d2f53c789126ddaf4f6b726edcf9a19fde3d6f461a82bf2f25a1262c8,13,0x83f77f106db4bf4f746dd3e679893d0fac35b1bb,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,57515,47487
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-01 16:41:11+00:00,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x7707aea68d4fba55f88de0c48b707aa657e6fb60,999910000000000000000,0x8ca7e845596ff645aeeb9f27b0387d93f1da81e9b573cef94a2d0384d36fb163,2937104,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,52780,35187
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-01 16:41:47+00:00,0x7707aea68d4fba55f88de0c48b707aa657e6fb60,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,1000120000000000000000,0x71068e3cb77dd3166ee1c361e06d386b5037f908101422dc11b291b91f731248,9,0x7707aea68d4fba55f88de0c48b707aa657e6fb60,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,100000,30387
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-01 17:34:23+00:00,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0xe7e675e4bc99b047a44249a779f10e30ddede91f,883490000000000000000,0x3246d45560e8c0639675906dc590b72b40336820ec4369c767e452940146e5ce,2412398,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,420000,52287
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-01 17:37:23+00:00,0xe7e675e4bc99b047a44249a779f10e30ddede91f,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,883490000000000000000,0x14d00b3cd28aac87f559e47adefd90f0572c78f3385d07820a0a9110dc704d59,107,0xe7e675e4bc99b047a44249a779f10e30ddede91f,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,52780,30387
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-01 21:45:47+00:00,0x02a84a3d88040b12957d5788e17049df4859a483,0x0000000000000000000000000000000000000000,80000000000000000000,0x21279bada309cc2c26ec097a128634ffadead8c8d32d2687bc3f37071ed50e1f,4751,0x02a84a3d88040b12957d5788e17049df4859a483,0x4f32ab778e85c4ad0cead54f8f82f5ee74d46904,200000,79812
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-01 23:26:11+00:00,0x43980d065d00ce41e4130e1e16dc2229fdc4edee,0x7a16eefc77af8245a632a085c260d397ca4f33c1,15176672000000000000,0x2ebf050cfd095b49ec23a0444e5995bda6e72d01171b20f832e221a285c6085f,0,0x43980d065d00ce41e4130e1e16dc2229fdc4edee,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,78412,47475
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 00:12:11+00:00,0x83934ec02e34d2878d93517c835a01bb0c4309b6,0x0000000000000000000000000000000000000000,19904500000000000000,0xc684ec6e494b3a560eee78f25e97c0e7d36074e2b46075547b06a76e21e42912,128,0x83934ec02e34d2878d93517c835a01bb0c4309b6,0x4f32ab778e85c4ad0cead54f8f82f5ee74d46904,200000,79824
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 00:27:23+00:00,0x02a84a3d88040b12957d5788e17049df4859a483,0x0000000000000000000000000000000000000000,50000000000000000000,0xb85824c8ff79c76dcfe4b531a1fda4663ca3a310cbbfc49079b82ddf86c680b1,4752,0x02a84a3d88040b12957d5788e17049df4859a483,0x4f32ab778e85c4ad0cead54f8f82f5ee74d46904,200000,79812
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 00:32:59+00:00,0x83934ec02e34d2878d93517c835a01bb0c4309b6,0x0000000000000000000000000000000000000000,19980000000000000000,0xf6816f76343db0c4f5c369e27274215193ec4fedbfb2c39075b1e75f68806a63,129,0x83934ec02e34d2878d93517c835a01bb0c4309b6,0x4f32ab778e85c4ad0cead54f8f82f5ee74d46904,200000,79812
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 04:11:47+00:00,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x77f30befcd4651f899d6bc7a4e4bc978d53bc912,15060789985500000000,0xe17b9eb65df65fd392b42a339b869a2dbfa2cf3462a15a49320bbfee4e20fb88,2412651,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,420000,52287
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 05:00:59+00:00,0x2a5b4cbc125818e9f06fd8a8b97ab63f9dc1b933,0xcd9bd5cf0b9661a1a6623aea8c3cd7186fc4ed2d,500000000000000000,0x72a6a8b954dc016ebb5697ec84a0f9f1ba66529ef34f83d51f0f0e061c0be580,11,0x2a5b4cbc125818e9f06fd8a8b97ab63f9dc1b933,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,57502,47475
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 09:15:35+00:00,0xb32ae33076c1a24ebdabb33f2b587daba365bf72,0x921266fd0ff41f6d519944a0d546eaf832d295f4,10021754290000000000,0x5f9b526bf77f4f5a3069546bfb5fa34b5e096682733713a6242aba788463159b,2,0xb32ae33076c1a24ebdabb33f2b587daba365bf72,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,52780,35187
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 09:16:11+00:00,0x921266fd0ff41f6d519944a0d546eaf832d295f4,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,10021754290000000000,0xb8265aa19eb61d47a06737dfc69138a43916f939de8333e2ebedb6c6a0ecad8b,3,0x921266fd0ff41f6d519944a0d546eaf832d295f4,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,100000,35187
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 11:58:59+00:00,0xb94d1d7e41d9aa531aa45956585df288d2328664,0x74de5d4fcbf63e00296fd95d33236b9794016631,118012218892326188455,0x1c07cafe13a3c07e223cf8c68993ecfb0f0fb6765f40e9ccae61bdb19089ee69,19,0xb94d1d7e41d9aa531aa45956585df288d2328664,0x881d40237659c251811cec9c364ef91dc08d300c,741218,441797
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 11:58:59+00:00,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,118012218892326188455,0x1c07cafe13a3c07e223cf8c68993ecfb0f0fb6765f40e9ccae61bdb19089ee69,19,0xb94d1d7e41d9aa531aa45956585df288d2328664,0x881d40237659c251811cec9c364ef91dc08d300c,741218,441797
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 11:58:59+00:00,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,0x5a4af3833df4ce27a00f55af1899254dfea11f04,70807331335395713073,0x1c07cafe13a3c07e223cf8c68993ecfb0f0fb6765f40e9ccae61bdb19089ee69,19,0xb94d1d7e41d9aa531aa45956585df288d2328664,0x881d40237659c251811cec9c364ef91dc08d300c,741218,441797
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 11:58:59+00:00,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,0x5696c2c2fcb7e304a5b9faaec9cd37d369c9d067,47204887556930475382,0x1c07cafe13a3c07e223cf8c68993ecfb0f0fb6765f40e9ccae61bdb19089ee69,19,0xb94d1d7e41d9aa531aa45956585df288d2328664,0x881d40237659c251811cec9c364ef91dc08d300c,741218,441797
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 11:59:11+00:00,0x5696c2c2fcb7e304a5b9faaec9cd37d369c9d067,0xd0be1fded5d964619b92b3672c08c43305529be0,24194709897242388986,0x8ca13672697c346b39ecc510c869b3ca7b2883e62233b88d8fe904b89e41a6c0,38397,0x315d2ee4fccda0def532ef4108ff57204f8d9eba,0x1fb421310ceacd0afb2a429bbb4682e522b38ecb,185000,145343
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 12:42:47+00:00,0x5a4af3833df4ce27a00f55af1899254dfea11f04,0x12dd5c15d823919cce348ff1c80f97e5b17d877d,70807331335395713073,0xf43ddaed0e88595c63e49737e658b5ad5f3e3e849672d90eb91c211c16e30026,65,0x5a4af3833df4ce27a00f55af1899254dfea11f04,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,78466,47511
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 12:43:11+00:00,0x12dd5c15d823919cce348ff1c80f97e5b17d877d,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,70807331335300000000,0x2dcb4d6a3d74f43cb066c1a1fa208b42dfe7b66c37213e3f18f50db233ba4ecc,136,0x12dd5c15d823919cce348ff1c80f97e5b17d877d,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,100000,35199
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 12:49:59+00:00,0x83934ec02e34d2878d93517c835a01bb0c4309b6,0x0000000000000000000000000000000000000000,20040100000000000000,0x103bfd9a92f7dbc5e81bbd9175b90453a6bf7a467bf14a32c898bd572e565c9b,130,0x83934ec02e34d2878d93517c835a01bb0c4309b6,0x4f32ab778e85c4ad0cead54f8f82f5ee74d46904,200000,79824
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 12:52:11+00:00,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x02a84a3d88040b12957d5788e17049df4859a483,160000000000000000000,0x4572295c3bac1551eda4034d081424b31fba9b7a5330e4ea182a86bd12fa9825,2412905,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,420000,35187
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 12:56:35+00:00,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x864fcc126a2fd53b22fd1d9a8b4526c644fab4f7,133011363526300000000,0x9eb7b54592a0a325c50b6a0dfc4936de62bd6fa9603f9c96ebb29e004962df40,2412906,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,420000,35199
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 12:56:59+00:00,0x02a84a3d88040b12957d5788e17049df4859a483,0x0000000000000000000000000000000000000000,80000000000000000000,0x9d6abf679543781ae5aee0af1402de0e50aa47ae1c6e1f01d65718ff2a096cc6,4753,0x02a84a3d88040b12957d5788e17049df4859a483,0x4f32ab778e85c4ad0cead54f8f82f5ee74d46904,200000,79812
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,2023-04-02 13:20:47+00:00,0xd0be1fded5d964619b92b3672c08c43305529be0,0x0d0707963952f2fba59dd06f2b425ace40b492fe,24194709897242388986,0x9fee0817bf4515a7d0364286d5c7cff277759346e3a66b89a47f0c1eb86e5482,3960,0xd0be1fded5d964619b92b3672c08c43305529be0,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,51411,30411
