TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 00:25:23+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x9dfc898948a24d27f36260edd123aa6aabbdc3e0,7026,0xcbfc705e47e755adc741f344dcc42695928827d9df06effe272f4c04c876b068,4,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x0000000000c2d145a2526bd8c716263bfebe1a72,245893,171920
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 00:25:23+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x9dfc898948a24d27f36260edd123aa6aabbdc3e0,7015,0xcbfc705e47e755adc741f344dcc42695928827d9df06effe272f4c04c876b068,4,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x0000000000c2d145a2526bd8c716263bfebe1a72,245893,171920
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 00:35:47+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x2a55f4dc951f5c1e56a53b247a061f490a086165,7016,0x85a3fd1592eabffca2d202d9f35dc3239c3cc1ee09ac15522c9d1ac674c29e20,5,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x6023da5c4ed130e73cd816ec931b562db2c346bb,144075,101227
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 00:51:47+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x7104eb21a61724020f23c8fa5f7bd0406c73d072,7017,0x571afe3290e6663b269063336b20041f9f4eb501f0a3234185cc033f786f6dcf,6,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x6023da5c4ed130e73cd816ec931b562db2c346bb,144075,101227
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 00:54:11+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0xcb06bede7cb0a4b333581b6bdcd05f7cc737b9cc,7019,0x382825485e68705be4ca0f4947084809121e1ac7ff08fcfc08f7fc367bb3c641,7,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x0000000000c2d145a2526bd8c716263bfebe1a72,227008,162420
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 00:54:11+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0xcb06bede7cb0a4b333581b6bdcd05f7cc737b9cc,7018,0x382825485e68705be4ca0f4947084809121e1ac7ff08fcfc08f7fc367bb3c641,7,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x0000000000c2d145a2526bd8c716263bfebe1a72,227008,162420
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 00:57:47+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0xb9a77255826829600a41fe831601c484d43650fd,7020,0xcdc931c3257fe2efa6ad4e541f0a183403fbe2b0663e86a69632ded5220dafcb,8,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x6023da5c4ed130e73cd816ec931b562db2c346bb,144075,101227
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 01:08:11+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0xd3a83679c81b7ef022f53b2b4cabff070e3b5c9c,7025,0x7f26b36024ceac4a328f1f44e014acd965ba8236a006862e6cd209dd16e0feb3,9,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x0000000000c2d145a2526bd8c716263bfebe1a72,296358,210325
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 01:08:11+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0xd3a83679c81b7ef022f53b2b4cabff070e3b5c9c,7024,0x7f26b36024ceac4a328f1f44e014acd965ba8236a006862e6cd209dd16e0feb3,9,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x0000000000c2d145a2526bd8c716263bfebe1a72,296358,210325
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 01:08:11+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0xd3a83679c81b7ef022f53b2b4cabff070e3b5c9c,7023,0x7f26b36024ceac4a328f1f44e014acd965ba8236a006862e6cd209dd16e0feb3,9,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x0000000000c2d145a2526bd8c716263bfebe1a72,296358,210325
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 01:20:47+00:00,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0xda4c130dea5569655e54a9a2533a715aca02461d,7027,0xdead37b33aa173a2c5ef63ef39f1ff6a37c3fbe55cf442fce1a8201162b53897,10,0xb74c1b2fec8bf59d93cae5a214a630a95398c1ac,0x6023da5c4ed130e73cd816ec931b562db2c346bb,121845,88927
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 01:30:23+00:00,0x3f9e7d14a170bbaa2b56840db08ac87b8f38afb8,0x9dfc898948a24d27f36260edd123aa6aabbdc3e0,6996,0xbc83bcc379e9ca203ecc1fc64a07aa2c15f1567de55769ab7dc93a99c66a00dd,4,0x3f9e7d14a170bbaa2b56840db08ac87b8f38afb8,0x6023da5c4ed130e73cd816ec931b562db2c346bb,160042,97095
0x6023da5c4ed130e73cd816ec931b562db2c346bb,2023-04-01 01:30:59+00:00,0x3f9e7d14a170bbaa2b56840db08ac87b8f38afb8,0x9dfc898948a24d27f36260edd123aa6aabbdc3e0,6997,0x9970738f3e5bd217dade9a4e7f3bb256fbcd652a6f3f7d3f28f5141e79a6ad47,5,0x3f9e7d14a170bbaa2b56840db08ac87b8f38afb8,0x6023da5c4ed130e73cd816ec931b562db2c346bb,134392,84795
