TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 00:59:11+00:00,0x0000000000000000000000000000000000000000,0x4d46c4d710167c7df696e79b6a4574a2220aefc6,1242,0x9c4c6b921ab3a2c686c65d6ff60a504fa37743346c744b83ee454d9419cc2f89,29812,0xdab1a1854214684ace522439684a145e62505233,0x696418f16804228d86266e12db5c5178e81a37c0,102118,80126
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 02:16:59+00:00,0x0000000000000000000000000000000000000000,0xcd3b8e6fbba670c4772284077f85b5426aa88f2e,1243,0x7be86310977f6b8f2aac86234b2bfc6e2ff7bb358ffedf91270562ef6057d9d9,493,0xcd3b8e6fbba670c4772284077f85b5426aa88f2e,0x696418f16804228d86266e12db5c5178e81a37c0,120613,75436
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 03:22:47+00:00,0x0000000000000000000000000000000000000000,0xa58d5bc649e755436d417ee4773c25abf7d50115,1244,0x5a00d7e2b2e42d5ec88b6ed14a83ffc4d7b91c050abb38143b6ee9abf8e7cb0d,64,0xa58d5bc649e755436d417ee4773c25abf7d50115,0x696418f16804228d86266e12db5c5178e81a37c0,146263,92536
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 03:26:59+00:00,0x0000000000000000000000000000000000000000,0x70a8f4c3aa30381d3648572db7740f7c2a967ae5,1245,0x9d3f528ee8923940e9f51fff41fe4605713bcb7f20bfd286aa6bdeb2686d6e23,29820,0xdab1a1854214684ace522439684a145e62505233,0x696418f16804228d86266e12db5c5178e81a37c0,122638,97226
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 03:59:35+00:00,0xa58d5bc649e755436d417ee4773c25abf7d50115,0xcd3b8e6fbba670c4772284077f85b5426aa88f2e,1244,0x52209098c23d6b8d226ea2cd4e688d4433385e58df67664767d51a78ee45c197,65,0xa58d5bc649e755436d417ee4773c25abf7d50115,0x696418f16804228d86266e12db5c5178e81a37c0,66449,51115
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 04:00:59+00:00,0xcd3b8e6fbba670c4772284077f85b5426aa88f2e,0xa58d5bc649e755436d417ee4773c25abf7d50115,1213,0xcf8d71e2c854951f1f48d4f836062d54eb29a1fec073f80000aabbd58ba986c0,494,0xcd3b8e6fbba670c4772284077f85b5426aa88f2e,0x696418f16804228d86266e12db5c5178e81a37c0,94417,72629
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 05:07:35+00:00,0x0000000000000000000000000000000000000000,0x971495f068b16108e6d7f0064a2185a2b7f3021f,1246,0x77880e2fa59a2c1cd2de3b6f0bc642aaf87b83ed6565e3445753064ad0980a06,29825,0xdab1a1854214684ace522439684a145e62505233,0x696418f16804228d86266e12db5c5178e81a37c0,102118,80126
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 06:08:35+00:00,0xfcc14418a84b160da9a65cbb9cfe542766866f85,0xd2cb8abdccb7ec6b0e605d372d94904051ef9f5b,785,0x57edf656aa95f009a1200c9f0dc3af24673f74fc8b54fc1aad395af52c2b33c9,243,0xfcc14418a84b160da9a65cbb9cfe542766866f85,0x0000000000c2d145a2526bd8c716263bfebe1a72,362233,269777
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-01 21:27:23+00:00,0xbd709c4cd22f51414cb2add3cc1c2d3ac2102200,0x51bc14aca4a5fa24208a36e8a54fcb9d11adcd76,967,0xdaaae771ef66563d7df96379c23d2f21eced0f2d050d11e890e0170ca6d1104f,134,0xbd709c4cd22f51414cb2add3cc1c2d3ac2102200,0x696418f16804228d86266e12db5c5178e81a37c0,88663,68203
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-02 03:55:35+00:00,0x0000000000000000000000000000000000000000,0x816be8f76eaeff74530acbe5be1f5822c968acc6,1247,0xb573cac30d5dcac3b87aa36e533d18ddd6fc73e4131039dd461ecdee98757b31,29892,0xdab1a1854214684ace522439684a145e62505233,0x696418f16804228d86266e12db5c5178e81a37c0,102118,80126
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-02 03:59:11+00:00,0x0000000000000000000000000000000000000000,0xcd3b8e6fbba670c4772284077f85b5426aa88f2e,1250,0x002177ea8d093b36029ad3632184b9dc79da7dfca646b776f7ada6112b3bc465,29893,0xdab1a1854214684ace522439684a145e62505233,0x696418f16804228d86266e12db5c5178e81a37c0,106837,84058
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-02 03:59:11+00:00,0x0000000000000000000000000000000000000000,0xcd3b8e6fbba670c4772284077f85b5426aa88f2e,1249,0x002177ea8d093b36029ad3632184b9dc79da7dfca646b776f7ada6112b3bc465,29893,0xdab1a1854214684ace522439684a145e62505233,0x696418f16804228d86266e12db5c5178e81a37c0,106837,84058
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-02 03:59:11+00:00,0x0000000000000000000000000000000000000000,0xcd3b8e6fbba670c4772284077f85b5426aa88f2e,1248,0x002177ea8d093b36029ad3632184b9dc79da7dfca646b776f7ada6112b3bc465,29893,0xdab1a1854214684ace522439684a145e62505233,0x696418f16804228d86266e12db5c5178e81a37c0,106837,84058
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-02 22:38:35+00:00,0xbd709c4cd22f51414cb2add3cc1c2d3ac2102200,0xc74c286d9a45ee0d6352342402b8d76b97f205b5,1054,0xe4af437491911e902e371e7448e7842977bd56b6a2f49240f5446bb32a30a579,135,0xbd709c4cd22f51414cb2add3cc1c2d3ac2102200,0x696418f16804228d86266e12db5c5178e81a37c0,66433,51103
0x696418f16804228d86266e12db5c5178e81a37c0,2023-04-02 22:54:11+00:00,0x0000000000000000000000000000000000000000,0xc74c286d9a45ee0d6352342402b8d76b97f205b5,1251,0x1282878bfa96e615c8bc0893b1d6db7519aaec85212c40a519eade4677555867,406,0xc74c286d9a45ee0d6352342402b8d76b97f205b5,0x696418f16804228d86266e12db5c5178e81a37c0,120613,75436
