TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-02 08:32:47+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x55d0ad838d8343c630ac63f9a43aa66f7c2b9ec1,1021,0x8a47a6b84da762f6cbc3592c43f767ffdfc4867b2d8a04fb4da634dff3d5ed18,1964,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,82122,63171
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-02 08:33:59+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x55d0ad838d8343c630ac63f9a43aa66f7c2b9ec1,1378,0x822047e2634da41e25416384f5eebe238c50378e8648f458a8c9f8cb6f2301c5,1965,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-02 08:36:47+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x55d0ad838d8343c630ac63f9a43aa66f7c2b9ec1,1046,0x67d72bfcb6bba047b7e7bfebeb99a2e46ffd540211689f80dd54a1f7d2c2035c,1966,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-02 22:20:23+00:00,0x6432120e1f2fd7e82425e2e036bdca60c753f42a,0x2e0b9697f6ce3586a30561e27d39aa9f951c6a6b,1154,0xe372ef223505ea22dff125f207325123a485a7a8f19bc9aad406d19d352895a7,10,0x6432120e1f2fd7e82425e2e036bdca60c753f42a,0x8419721412da63076b4556247a028e93ab51f9f4,82122,63171
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-04 00:06:35+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x0b9c6a77203fd20d29e52cedc7d31cfa63da326b,1385,0x2b67244a371e9967aa348e993a6ccc81eecee5ad2768c2203132b43a9e01d401,1970,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-05 00:07:47+00:00,0x0b9c6a77203fd20d29e52cedc7d31cfa63da326b,0xc675a9f400a925eebb3fd06be26b567cd2180b09,1385,0x2d4018648d631ed9d661925f6c7926c0a2884f5e409990ff86a96d6b86de4299,41,0x0b9c6a77203fd20d29e52cedc7d31cfa63da326b,0x8419721412da63076b4556247a028e93ab51f9f4,59876,46059
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-05 12:34:23+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0xb726343068e32c2484d8ac77a3b032f571175e62,1382,0x625b90d8734d28ddd72319322f54811eb7c1d2157556c7ccfea66d38f39a5144,1977,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-05 12:35:23+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0xe2e90e60727a9b938df9ce952e9b641d1c3a4b30,1388,0xab38fe5d170e1427db7bae38a83460a7fb8739da49836047cd253ab7559c1843,1978,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-06 00:55:23+00:00,0x0000000000000000000000000000000000000000,0xbe8550e99f0a0c3ef6d1e98ad2fc15f161eb301a,1392,0xe876c6a6c4e1c58f0a9d74315886d36c982324a084d590bc2aa7ce70d8f3c719,0,0xbe8550e99f0a0c3ef6d1e98ad2fc15f161eb301a,0x8419721412da63076b4556247a028e93ab51f9f4,66715,66715
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-06 15:04:35+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x6e50045b1be65c73db66125befbd61db46c3cb9d,1371,0xfc19e4de5d39f4212b70267c9a0a2dd640bd3604e6e7442f4c5fa981e6de27bc,1981,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-07 20:43:11+00:00,0x0000000000000000000000000000000000000000,0xbe8550e99f0a0c3ef6d1e98ad2fc15f161eb301a,1393,0x34346f1fffa805ae8cf4bc8363646182d918b0c7873c1de31fff91e0cc7c5f98,1,0xbe8550e99f0a0c3ef6d1e98ad2fc15f161eb301a,0x8419721412da63076b4556247a028e93ab51f9f4,66715,66715
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-12 01:05:11+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x55d0ad838d8343c630ac63f9a43aa66f7c2b9ec1,1384,0xdce542c81e49231053a7a0cc27fe6fb04ff46cd36c3301c08b9963b1cb685947,1985,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-12 01:16:23+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x295c8e97709bbd732508e4f6d65bdf66c93f870f,1363,0xab3c84785dd4b026092bc06cfd09027fefd0a9e0e932fd1c586d14eb912ddd7e,1986,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-13 02:27:59+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x4f94ee0b6d2a31cb9befeef2d95bf19f3a63e7dd,1201,0x0df55202c0707c242e5e30311c6156ab2f76004199eae9e171f7742a799e0508,1987,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-15 03:11:23+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x2373a63a69d3b61d87c8e878f37e1f24bb31a6f3,1067,0x4b188a6e60efa485fe5dc550d09acb26a97e8703e71ba328a03d670aef4a99da,1989,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-18 14:59:11+00:00,0x0000000000000000000000000000000000000000,0xc1deabf2d852234c8093de0b4b726d4bc0e7432b,1394,0x27307289d16b4e293e7bfef0e5dd54e9fb0ec25411b89a52d9cfe4407f26bcc4,21,0xc1deabf2d852234c8093de0b4b726d4bc0e7432b,0x8419721412da63076b4556247a028e93ab51f9f4,83815,83815
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-21 02:24:35+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0xccf7712dd1587276c41c510facd4a08bc284e970,1019,0xef51e37adbc4d786c0f81c7e830355c0a0fea1d5ad4fb87a1257f54ba7b24f21,2005,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-30 12:19:23+00:00,0x55d0ad838d8343c630ac63f9a43aa66f7c2b9ec1,0x000000000000000000000000000000000000dead,1378,0xb42e487b81390a6bbea9c3cde2adfdd9b4a6a881fab2b84f9be749308100f22d,0,0x55d0ad838d8343c630ac63f9a43aa66f7c2b9ec1,0x8419721412da63076b4556247a028e93ab51f9f4,59611,45855
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-30 12:28:23+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x55d0ad838d8343c630ac63f9a43aa66f7c2b9ec1,1204,0x7fb85cda8006a905dc66b4beffc9bffeb792f828e8d2b9603b47b43a704217c4,2009,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
0x8419721412da63076b4556247a028e93ab51f9f4,2023-04-30 12:29:47+00:00,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0xe8c06f81cd32f85e918073652b63a97feda08141,1317,0xc63c7a90da1316434af64e551a8897695b3434c97217fd32b50ef5bc4730fe41,2010,0x6079903efe7d838e21368a5ea8c89bf26cbdbb79,0x8419721412da63076b4556247a028e93ab51f9f4,59892,46071
