TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:06:59+00:00,0x97e72d8376ddb0fd044b0b920b218518972bae9b,0x5be736517c88c09e733251b54baa6c6cd6768a86,18761101064336589,0xea68542079b6c45eb9df2af09267995ca2875b5c698361b19f688eb94fed5ada,154,0x5be736517c88c09e733251b54baa6c6cd6768a86,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,333745,220204
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:07:11+00:00,0x97e72d8376ddb0fd044b0b920b218518972bae9b,0x5be736517c88c09e733251b54baa6c6cd6768a86,37114811339258369,0x54afc4be8dcee021db8bf9f7032bcb6ce6523bb7bbb4324974003c538a550735,155,0x5be736517c88c09e733251b54baa6c6cd6768a86,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,310473,208044
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:07:35+00:00,0x97e72d8376ddb0fd044b0b920b218518972bae9b,0x5be736517c88c09e733251b54baa6c6cd6768a86,54675617510429905,0x97dfd2e8198210a38930a6c2e35eebab05f448ef64ff19ae645791c74c5b2bfc,157,0x5be736517c88c09e733251b54baa6c6cd6768a86,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,335029,221167
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:08:11+00:00,0x97e72d8376ddb0fd044b0b920b218518972bae9b,0xa9b809cfe8d95edbdd61603ba40081ba6da4f24b,44673778208011162,0xe61d6ed540b6ff7d7b276417b676c99bc49c7b93ffd131da07fc97926878d766,1242,0xa9b809cfe8d95edbdd61603ba40081ba6da4f24b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,335397,221300
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:08:47+00:00,0x97e72d8376ddb0fd044b0b920b218518972bae9b,0xa9b809cfe8d95edbdd61603ba40081ba6da4f24b,87009707632850993,0xc3a8dcaee0f108434cd8d915d57da5d724739baf122fc044fc32c00e15d8b287,1243,0xa9b809cfe8d95edbdd61603ba40081ba6da4f24b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,381278,251761
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:08:59+00:00,0x47070cff152f51acc9f5e3e9a546bdff12391667,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,24027601802109261,0xe3a533237f7f72eaa7e9ca983e01b3e248a912deaf46138d2f9e0782646d9fe5,28178,0xa00cce999f4cdde0230360609ed94e3b64b09ec1,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,615083,302836
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:08:59+00:00,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x97e72d8376ddb0fd044b0b920b218518972bae9b,24027601802109264,0xe3a533237f7f72eaa7e9ca983e01b3e248a912deaf46138d2f9e0782646d9fe5,28178,0xa00cce999f4cdde0230360609ed94e3b64b09ec1,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,615083,302836
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:09:47+00:00,0x000000000005af2ddc1a93a03e9b7014064d3b8d,0x97e72d8376ddb0fd044b0b920b218518972bae9b,12649736406138340,0x89a70bc35dc6ed6c90d54d88ca86df604ee35fcede11281a25de25472729296a,19609,0x758e8229dd38cf11fa9e7c0d5f790b4ca16b3b16,0x000000000005af2ddc1a93a03e9b7014064d3b8d,127868,116280
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:09:47+00:00,0x97e72d8376ddb0fd044b0b920b218518972bae9b,0x000000000005af2ddc1a93a03e9b7014064d3b8d,12649736406138341,0x71f718eae35027588092c4eb4d4d0d098d1a845a00007d852f4cc5a1b954db7a,19608,0x758e8229dd38cf11fa9e7c0d5f790b4ca16b3b16,0x000000000005af2ddc1a93a03e9b7014064d3b8d,200474,167062
0xb67718b98d52318240c52e71a898335da4a28c42,2023-04-01 22:09:47+00:00,0x97e72d8376ddb0fd044b0b920b218518972bae9b,0xfefe0dd62c7debb9d9bd9e4906507d0f7a19a2b2,91092268719377325,0xd3b1d4a670eadd3d2c117a7bba446e781042155fb1a09ad867a73f02bad385cc,1545,0xfefe0dd62c7debb9d9bd9e4906507d0f7a19a2b2,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,217959,140170
