TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 00:00:35+00:00,0xcda72070e455bb31c7690a170224ce43623d0b6f,0xd566f68779f1f671a6cb9b1b866af278a41653de,42109,0x8d9be58b0ed6582b09209cd8e73c76ac4c5a0744432b5914c209483e2d47591a,391,0xd566f68779f1f671a6cb9b1b866af278a41653de,0xcda72070e455bb31c7690a170224ce43623d0b6f,188145,146808
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 00:13:59+00:00,0xd566f68779f1f671a6cb9b1b866af278a41653de,0xcda72070e455bb31c7690a170224ce43623d0b6f,42109,0xb21a9849cc5b9c0e410d6a3df738d81ddb003e5639b12bd212f68b98c516b1a6,392,0xd566f68779f1f671a6cb9b1b866af278a41653de,0xcda72070e455bb31c7690a170224ce43623d0b6f,310860,259367
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 00:23:59+00:00,0x0000000000000000000000000000000000000000,0x2b97b1ac7fdc2ec487f0f4a8d15dd3de8e82968b,44052,0x8538cc6f29274604e85e03ee2e496baa4a4ead2f81b569109e9c794a79e1569e,492,0x2b97b1ac7fdc2ec487f0f4a8d15dd3de8e82968b,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,273900,273900
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 00:53:59+00:00,0x0000000000000000000000000000000000000000,0x6215e708a7b61f5ed49642f692f28ba09b807725,44053,0x36ec29e8ec6e6096f8d2a3f7149991c3ae6313c27b4d21ea113faafb7ce3f7e3,1586,0x6215e708a7b61f5ed49642f692f28ba09b807725,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,273900,273900
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 01:22:47+00:00,0x36ab6423f7a846bf8328bf1bd2e0264efed09817,0x79ee25d629511864008077c28682adb2d003383d,44028,0xabae6094a28be64c1ae7998efed6cedf9a4cb81ae21f982f7a64108d8fe507a5,301,0x36ab6423f7a846bf8328bf1bd2e0264efed09817,0x6d7c44773c52d396f43c2d511b81aa168e9a7a42,284242,248606
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 03:55:23+00:00,0x44ed32b27aebf445c209dab3ea7e3a9d50f37b2a,0x93958d6e3b79b6d15a11ba00876ce8edcb02ba95,40647,0x09a796b7a2169d50eb940ec9ccffa5eb2a1ef46d11677419cbb5e2cd65eda36b,1844,0x44ed32b27aebf445c209dab3ea7e3a9d50f37b2a,0x0000000000c2d145a2526bd8c716263bfebe1a72,253120,179853
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 04:56:35+00:00,0x0000000000000000000000000000000000000000,0x71acb90297213670098150b7b15e959f97faa5ac,44054,0xf19098e15cf958b3f9c5fde4276425c619417a34ee226c33fcc3143cab74cec1,1248,0x71acb90297213670098150b7b15e959f97faa5ac,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,273900,273900
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 06:09:59+00:00,0x71acb90297213670098150b7b15e959f97faa5ac,0xf10c026d8c8aa2a48074fc6c9ee6374891856b3d,44054,0x78b791559f8bc0cd4718db630829bcabf110e66403ec92b227686f01af37e5e1,9,0xf10c026d8c8aa2a48074fc6c9ee6374891856b3d,0x00000000000001ad428e4906ae43d8f9852d0dd6,226155,161395
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 07:20:11+00:00,0x56dbc92c5863f64efc5a8b717d3860d835a78617,0x6d7c44773c52d396f43c2d511b81aa168e9a7a42,43514,0x2fb9c9d598d031fd7422f9d4f7d73f4469c40fbe48a7f87e3f98e60d86516cbe,282,0x56dbc92c5863f64efc5a8b717d3860d835a78617,0x6d7c44773c52d396f43c2d511b81aa168e9a7a42,376442,366364
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,2023-04-01 07:46:47+00:00,0x211c4802667c90ff074da26425097eaed9ac9079,0x6d7c44773c52d396f43c2d511b81aa168e9a7a42,44014,0x94bea9ceefcbc6ac8dd7107b3ceb4b3d4f072afb5c84941ac4cce71d707d348c,1018,0x3fe877b86a298326c13d911a99d59f4c9d195957,0x6d7c44773c52d396f43c2d511b81aa168e9a7a42,266592,243588
