TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-01 10:35:59+00:00,0x146dc61f6fe71c9855d0efe8b180e3ae73742098,0x74de5d4fcbf63e00296fd95d33236b9794016631,29532212804150000000000,0x015b314b8254be9d68a2496ece5d86036c38451d2584172679e1a91e30da3f7c,37,0x146dc61f6fe71c9855d0efe8b180e3ae73742098,0x881d40237659c251811cec9c364ef91dc08d300c,467072,342896
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-01 10:35:59+00:00,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xd8f8885f659f5da5cbf1d68a5d03eaf5785aceec,29532212804150000000000,0x015b314b8254be9d68a2496ece5d86036c38451d2584172679e1a91e30da3f7c,37,0x146dc61f6fe71c9855d0efe8b180e3ae73742098,0x881d40237659c251811cec9c364ef91dc08d300c,467072,342896
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-01 20:07:47+00:00,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0x7736d1c71541924e127e47dc14f181209889f6ed,116930736465590000000000,0x1673a1c1e3fd991769635e246e3b157fa4169382d68be585633059dc9b6e0b6a,1735421,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xe477292f1b3268687a29376116b0ed27a9c76170,200000,86909
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-05 08:43:59+00:00,0xdab5ca9d9680b18394c21c0c6b80d1fa5c67c1e7,0x6e4bd7cdf7c48c127aee2befc4fd87db4ef1ac0f,155000000000000000000000,0x819ef477b4192db1803c05daa53076d9d2156c64330126c98a03d98713219b2d,35,0xdab5ca9d9680b18394c21c0c6b80d1fa5c67c1e7,0xe477292f1b3268687a29376116b0ed27a9c76170,59876,49897
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-06 22:40:59+00:00,0x1f751b0d83a58b20a0c5b65f01bf7ac7cb60012d,0x7741e2524c592b78e06640aa31e733556092e309,2941176470588230000000000,0xdd5384e0e46a05b7d11e41b7c7f14d2c508df01b3498103b42af5dc5502a5e3b,1189,0x1f751b0d83a58b20a0c5b65f01bf7ac7cb60012d,0xe477292f1b3268687a29376116b0ed27a9c76170,130381,82121
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-06 23:22:59+00:00,0x7741e2524c592b78e06640aa31e733556092e309,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,2941176470588230000000000,0x02e8590608a7853306e722cf0eb9c39ab263b85a923b40c6fe052a5f6dde59c3,4,0x7741e2524c592b78e06640aa31e733556092e309,0xe477292f1b3268687a29376116b0ed27a9c76170,200000,45121
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-07 08:17:35+00:00,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0x6e4bd7cdf7c48c127aee2befc4fd87db4ef1ac0f,275000000000000000000000,0x4317fd5b2aa62f92da1f9163e15c2045acf47925107f3f3b36c41b0f143f85cd,1750133,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xe477292f1b3268687a29376116b0ed27a9c76170,200000,49897
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-08 19:57:35+00:00,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0x13dcce1656ff6107229b486b1b5fc6f4d6cd0313,145526684300000000000000,0x34cc8217b369a7bedd1eba4f1b6038e53bf475f2cd5af5c11f49fe6171c6e643,1753509,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xe477292f1b3268687a29376116b0ed27a9c76170,200000,49909
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-09 02:37:35+00:00,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xcade76da0f44f00ad2c27f8e74a333ae084c9817,43797341700000000000000,0xd1ae18a705c7eda6eaeec1546b1c247f4d434c78e895374a4fc63f2d9a18bccb,1754179,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xe477292f1b3268687a29376116b0ed27a9c76170,200000,67009
0xe477292f1b3268687a29376116b0ed27a9c76170,2023-04-09 02:39:11+00:00,0xcade76da0f44f00ad2c27f8e74a333ae084c9817,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,43797341700000000000000,0x422ae747497c9612674ef2c0ca0e48c572a5de2f01e0c039c50332e01928c678,1609,0xcade76da0f44f00ad2c27f8e74a333ae084c9817,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,132407,102868
