TOKEN_ADDRESS,BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-01 19:58:11+00:00,0xdecf04ca46d287b3cb99692ad512e568ba276140,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,2545075406969990897,0xa0330dfb1203460bd2b0ed2dd69274bd58a76579abfe9192af693bfae3dc430e,38824,0x1739b308d2232f9987975298c4459b5e51fa272e,0x84d99aa569d93a9ca187d83734c8c4a519c4e9b1,1870844,1216888
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-01 19:58:11+00:00,0x0000000000000000000000000000000000000000,0xdecf04ca46d287b3cb99692ad512e568ba276140,2545075406969990897,0xa0330dfb1203460bd2b0ed2dd69274bd58a76579abfe9192af693bfae3dc430e,38824,0x1739b308d2232f9987975298c4459b5e51fa272e,0x84d99aa569d93a9ca187d83734c8c4a519c4e9b1,1870844,1216888
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 08:39:35+00:00,0x6d98f705bdf4ee437b15d0de31a5a1a5e55ea14d,0x0000000000000000000000000000000000000000,7000000000000000,0x3152de65bfe09fff105e0f2f6dcb6c979885c03ea072f2d6221dc932adb2132a,213,0x6d98f705bdf4ee437b15d0de31a5a1a5e55ea14d,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,980193,792598
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 13:35:47+00:00,0xc2d019b901f8d4fdb2b9a65b5d226ad88c66ee8d,0xb1dc36ccf4282d7e1eba6a076b94d7d2aadb4e5e,695265460038645,0x07121b04043eac43421923615b71da66ffe644abde9cfcdb73c17999d97613db,18,0xb1dc36ccf4282d7e1eba6a076b94d7d2aadb4e5e,0xc2d019b901f8d4fdb2b9a65b5d226ad88c66ee8d,478647,308402
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 13:44:11+00:00,0xb1dc36ccf4282d7e1eba6a076b94d7d2aadb4e5e,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,695265460038645,0x5acb2155a60ed767232f79ada30e079c447c28eb180f46f7a3bfb03de0807a4d,20,0xb1dc36ccf4282d7e1eba6a076b94d7d2aadb4e5e,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,474436,295651
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 13:44:11+00:00,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,695265460038645,0x5acb2155a60ed767232f79ada30e079c447c28eb180f46f7a3bfb03de0807a4d,20,0xb1dc36ccf4282d7e1eba6a076b94d7d2aadb4e5e,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,474436,295651
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 14:21:59+00:00,0xed77777586d73c58eb4d6bebdf9c85c2d5f56c2d,0xba12222222228d8ba445958a75a0704d566bf2c8,994216792886904239,0xc87451cb16a7ea79f0c93f330d36a0dbea66edc3a7d4bbd4037062bcbb166b3a,72854,0x4425c20d8e84c48aebeb116cf7b9838d4833f78d,0xed77777586d73c58eb4d6bebdf9c85c2d5f56c2d,520342,340595
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 14:21:59+00:00,0xf253f83aca21aabd2a20553ae0bf7f65c755a07f,0xed77777586d73c58eb4d6bebdf9c85c2d5f56c2d,994216792886904239,0xc87451cb16a7ea79f0c93f330d36a0dbea66edc3a7d4bbd4037062bcbb166b3a,72854,0x4425c20d8e84c48aebeb116cf7b9838d4833f78d,0xed77777586d73c58eb4d6bebdf9c85c2d5f56c2d,520342,340595
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 20:24:35+00:00,0x1111111254fb6c44bac0bed2854e76f90643097d,0x50fe86cfc30f68fb1f238630f29dd8abf654db86,6973118080656345,0x3989d41a08c76e4dc0354b68cc38a16bacbccb38b6132ed2a285abb74534a100,53,0x50fe86cfc30f68fb1f238630f29dd8abf654db86,0x1111111254fb6c44bac0bed2854e76f90643097d,619823,423836
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 20:24:35+00:00,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,0x1111111254fb6c44bac0bed2854e76f90643097d,6973118080656345,0x3989d41a08c76e4dc0354b68cc38a16bacbccb38b6132ed2a285abb74534a100,53,0x50fe86cfc30f68fb1f238630f29dd8abf654db86,0x1111111254fb6c44bac0bed2854e76f90643097d,619823,423836
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,2023-04-02 20:24:35+00:00,0xf253f83aca21aabd2a20553ae0bf7f65c755a07f,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,6973118080656345,0x3989d41a08c76e4dc0354b68cc38a16bacbccb38b6132ed2a285abb74534a100,53,0x50fe86cfc30f68fb1f238630f29dd8abf654db86,0x1111111254fb6c44bac0bed2854e76f90643097d,619823,423836
